question,answer,link
Do you offer engraving services?,"As of now, hindi po kami nag-ooffer ng engraving services — we specialize in selling laser engraving machines mismo. Kung may specific engraving need kayo, meron po kaming 3 types of machines na pwede niyo bilhin depende sa material: CO2 Galvo, UV Laser, at Fiber Laser. Message us anyway kung gusto niyo malaman kung anong machine pinaka-bagay sa project niyo."
What laser machines do you sell? What's the difference between your machines?,"Meron kaming 3 types: CO2 Galvo — best sa wood (mabilis mag-deep engrave) at coated tumblers, pero hindi pwede sa metal. UV Laser — cold laser, best sa glass, plastic, at sensitive items like trophies/plaques, electronics, medical devices; pwede rin sa wood at metal (marking lang) kaya siya ang most flexible. Fiber Laser — pinaka-best sa lahat ng metal (gold, silver, aluminum, titanium, stainless, etc.) pati coated items. Which material po ba gagamitin niyo, para marecommend ko yung best fit?","https://www.facebook.com/100090936219742/videos/7801391133280479/?fs=e&mibextid=wwXIfr&rdid=M9OpmyeK0FTrSYQr https://github.com/auhcron/fb-page-autoreply-bot/blob/main/all%203%20machines.jpg?raw=true"
How much are your machines? What's the price of your machines?,"As of now, ang presyo namin ay: Fiber Laser — ₱150,000, CO2 Galvo — ₱195,000, UV Laser — ₱195,000. Take note po na pwede pa itong magbago/tumaas soon, so better message us to confirm the current price before deciding."
Which machine should I get if I want to engrave metal? Can I see a picture or photo of the fiber laser machine?,"Kung metal ang priority niyo, Fiber Laser talaga ang best choice — hands down siya ang pinaka-effective sa lahat ng klase ng metal tulad ng gold, silver, aluminum, titanium, stainless, at brass. Marunong din siya mag-etch ng coated metal items.",https://github.com/auhcron/fb-page-autoreply-bot/blob/main/fiber%20laser.jpg?raw=true
Which machine is best for wood? Can I see a picture or photo of the CO2 galvo machine?,"Para sa wood, CO2 Galvo ang pinakamabilis at pinaka-effective para sa deep engraving — mainit talaga siya kaya parang nasusunog yung wood pag tinamaan. Pwede rin naman ng UV Laser sa wood pero medyo mabagal siya kumpara sa CO2.",https://github.com/auhcron/fb-page-autoreply-bot/blob/main/co2%20galvo.jpg?raw=true
Can your machines engrave glass? Do you have a machine for trophies or plaques? Can I see a picture or photo of the UV laser machine?,"Yes! Ang UV Laser namin ang pinaka-bagay para sa glass — best siya para sa trophies at plaques na gawa sa glass, plus pwede rin siya sa plastic (like 3D printing filaments) at sa sensitive items tulad ng electronic or medical devices.",https://github.com/auhcron/fb-page-autoreply-bot/blob/main/uv%20laser%20galvo.jpg?raw=true
Do you have a machine for tumblers?,"Yes, ang CO2 Galvo namin ang pinaka-bagay para sa tumblers, pero specifically yung mga coated tumblers lang po ang pwede."
Where is your showroom located?,"Located po kami sa 757 Caballeros Street, Sunjoy Building, San Nicolas, Manila — malapit lang po kami sa Divisoria Mall. Maluwag din po ang parking area namin so hindi problema yan."
What are your business hours?,"Usually po open kami 8am to 5pm, pero ako mismo po ang personal na nagde-demo ng machine at sumasagot ng mga tanong, so best na mag-set tayo ng appointment beforehand para masiguro na nandito ako on-site pagdating niyo."
Can I schedule an appointment or demo? I want to visit and see the machines.,"Para po dyan, please call or Viber niyo na lang ako directly sa 09178350100 — ako mismo po kasi ang personal na magde-demo, so kailangan ko pong i-confirm ang schedule ko before ma-finalize ang appointment natin."
Do your machines have a warranty?,"Yes po, every machine purchase comes with 1 year warranty. Included na rin po ang training at after-sales support, so hindi kayo mag-iisa once mabili niyo na yung machine."
Do you offer delivery?,"Yes po, free delivery within Metro Manila. For outside Metro Manila, message niyo lang po kami to arrange."
What software comes with the machine?,"Every machine comes with EZCad2 software, which is okay na for basic engraving. Pero kung may budget kayo, LightBurn ang pinaka-maganda gamitin — mas madami siyang features. Around ₱12,500 lang po ang license ng LightBurn, sold separately."
How do I order or purchase a machine?,"Pwede niyo po kami i-message dito sa page, or you can call/Viber us at 09178350100. Kapag ready na kayo mag-order, kailangan lang po ng ₱10,000 deposit para masimulan namin i-assemble at i-calibrate yung machine niyo — yung balance babayaran na lang po pag delivery na."
How do I pay? What payment methods do you accept?,"For the deposit, GCash lang po muna via 09178350100. Yung balance naman po babayaran on delivery."
Do you provide training on how to use the machine?,"Yes po, kasama na sa purchase ang training — usually mga 3 hours ang tagal. Kung Metro Manila kayo, ginagawa po ito on-site during delivery. Kung outside Metro Manila naman, online po ang training."
How can I contact you?,"Pwede niyo po kaming i-message dito sa Messenger, o pwede rin po kayo tumawag or mag-Viber sa 09178350100."
